Hugo_Symbol,BAG1,BCL2,BIRC5,CCNB1,ERBB2,ESR1,GRB7,MKI67,MMP11,MYBL2,PGR
TCGA-3C-AAAU-01,0.2926,0.6256,0.2255,0.5491,-0.1195,0.0267,0.2791,0.5304,0.6631,0.1102,0.638
TCGA-3C-AALI-01,-1.3304,-1.3718,0.9773,1.1202,3.0844,-1.7417,3.78,0.3946,0.5164,1.5532,-1.2241
TCGA-3C-AALJ-01,0.2737,0.7103,0.8402,1.0753,0.3088,0.376,0.7213,-0.58,0.8684,1.2383,-0.0263
TCGA-3C-AALK-01,0.0622,0.5666,0.5015,-0.1088,1.4511,-0.1227,1.1829,-0.3775,0.4224,-0.2191,0.6311
TCGA-4H-AAAK-01,0.5149,0.2704,-0.3984,-0.4751,0.4057,0.2382,0.5315,-0.3142,1.5083,-0.2556,0.9205
TCGA-5L-AAT0-01,-0.0959,0.5418,-0.9646,-1.266,0.1516,0.3187,0.1765,-1.2819,1.4643,-0.9734,0.1594
TCGA-5L-AAT1-01,0.1077,-0.3063,-1.7219,-1.5638,0.4783,0.1263,0.5208,-2.3334,1.709,-1.7512,-1.1011
TCGA-5T-A9QA-01,2.5623,0.1544,0.2771,0.2098,0.3863,0.0395,1.0315,-0.5745,-1.1569,0.2653,-0.6475
TCGA-A1-A0SB-01,-0.6474,0.7097,-0.8101,-1.1599,-0.1757,-0.6025,-0.2982,-0.0124,-2.4311,-0.425,-1.6446
TCGA-A1-A0SD-01,2.5823,0.4951,-0.5825,-0.5656,0.4633,0.4948,0.2542,-0.0883,0.2763,-0.4126,0.1489
TCGA-A1-A0SE-01,0.2989,0.5218,-0.1108,0.2852,0.1412,0.137,-0.1701,0.224,0.1843,0.0235,1.125
TCGA-A1-A0SF-01,-0.0579,0.5106,-0.9241,-0.3242,-0.0085,0.4003,-0.1299,-0.2076,-0.8649,0.1258,1.119
TCGA-A1-A0SG-01,0.8848,0.3353,-0.7408,-0.7624,0.2723,0.7341,-0.4214,-0.72,0.9412,-0.7,1.4382
TCGA-A1-A0SH-01,0.0588,0.0442,-0.5683,-1.1587,0.7789,-0.4197,-0.4502,-0.5655,0.8272,-0.8957,0.9396
TCGA-A1-A0SI-01,-1.2603,-0.8859,0.2021,0.7676,-0.5664,0.1087,-0.9143,0.8514,0.7187,1.078,-0.1823
TCGA-A1-A0SJ-01,-1.3317,0.9177,0.0666,0.8768,0.1415,0.1641,0.421,0.5575,-0.0127,1.162,0.8538
TCGA-A1-A0SK-01,-0.2041,1.3822,0.7527,1.2011,-3.1706,-2.7064,0.1614,1.9078,-0.6804,1.5391,-1.7618
TCGA-A1-A0SM-01,-0.0897,-1.0596,0.6303,0.134,3.033,0.2377,2.5337,-0.1729,0.893,-0.2238,-0.7377
TCGA-A1-A0SN-01,0.3282,-0.7063,-0.6716,1.5813,2.8508,0.6161,2.8657,0.7801,0.5589,1.0277,0.4312
TCGA-A1-A0SO-01,-2.5303,-2.6436,1.5618,1.0319,0.1589,-2.418,0.3009,2.2185,-1.2945,1.3605,-1.5648
TCGA-A1-A0SP-01,1.4536,0.8303,1.471,1.1171,-0.9193,-1.4553,-0.91,0.7445,-0.4947,1.6571,-1.1513
TCGA-A1-A0SQ-01,1.2363,0.766,-0.2034,-0.1466,-0.3536,0.6202,-0.1671,-0.1701,-1.72,-0.3122,1.1914
TCGA-A2-A04N-01,-0.3831,0.1998,-0.7513,-0.9556,-0.279,0.69,-0.3801,-0.8667,0.9128,-1.3205,1.4925
TCGA-A2-A04P-01,-0.8307,-1.4858,2.1843,0.7053,-0.9653,-0.5473,-0.8609,-0.0791,0.0214,0.5222,-1.3144
TCGA-A2-A04Q-01,0.0462,-0.801,0.9397,0.6496,-0.8539,-1.4577,-0.7347,0.9348,-0.0495,0.7148,-0.5905
TCGA-A2-A04R-01,1.8138,1.3696,1.37,0.762,-0.1144,0.4904,-0.0902,0.9177,0.7992,0.9287,0.9561
TCGA-A2-A04T-01,-1.469,-1.004,1.258,1.2352,-0.4638,-2.1294,-0.3986,1.5475,-0.8048,1.2874,-1.4301
TCGA-A2-A04U-01,0.1549,-0.6017,1.8114,1.5567,-1.3112,-2.7344,-1.6958,0.765,0.3277,0.7984,-1.7182
TCGA-A2-A04V-01,1.6947,1.1557,0.3145,0.3886,0.2394,0.6503,0.202,-0.0047,0.9995,-0.0612,-0.5661
TCGA-A2-A04W-01,-0.0411,-1.8042,0.286,0.2448,2.4218,-1.4048,2.2342,0.1829,1.1475,0.2631,-1.1451
TCGA-A2-A04X-01,1.2109,-0.8155,-0.1075,0.7231,2.0571,-0.4154,1.5969,0.5683,0.2723,0.7091,0.354
TCGA-A2-A04Y-01,1.0897,0.7688,0.3693,1.0406,-0.0765,0.3492,-0.3488,0.4663,-0.3673,-0.3033,0.2084
TCGA-A2-A0CK-01,0.2406,0.7712,-0.2296,-0.3317,0.2618,0.0196,0.8658,-0.4253,-0.5572,-0.2008,0.6064
TCGA-A2-A0CL-01,-0.8361,-0.0037,0.1259,-0.2947,-0.9703,-0.5317,-1.2882,0.9164,0.1673,1.5893,-0.4214
TCGA-A2-A0CM-01,0.3241,-1.4837,1.1167,1.5278,-1.2258,-1.4075,-0.286,1.4442,-1.3157,1.3293,-1.4235
TCGA-A2-A0CO-01,0.0806,0.3208,-2.1375,-2.7388,0.285,0.3065,0.1583,-1.6839,-0.85,-0.9417,0.2618
TCGA-A2-A0CP-01,0.2926,0.028,-2.0356,-1.9525,-0.1752,0.1668,-0.5791,-2.3511,0.8588,-1.5086,1.2496
TCGA-A2-A0CQ-01,0.6419,0.5171,-0.0189,-0.0571,-0.1764,0.7076,-0.523,-0.3859,0.5996,-1.247,0.8456
